plate_pair,plate,well,ecotype,site,seed_family,water_potential,cold_stratification,Date,Day
23,23_A,23_A_D,Semelparous,S1,S1_11,0,Not cold stratified,4/28/23,4
23,23_A,23_A_D,Semelparous,S1,S1_11,0,Not cold stratified,4/28/23,4
23,23_A,23_A_D,Semelparous,S1,S1_11,0,Not cold stratified,4/28/23,4
23,23_A,23_A_D,Semelparous,S1,S1_11,0,Not cold stratified,5/1/23,7
23,23_A,23_A_D,Semelparous,S1,S1_11,0,Not cold stratified,5/1/23,7
23,23_A,23_A_D,Semelparous,S1,S1_11,0,Not cold stratified,5/1/23,7
23,23_A,23_A_D,Semelparous,S1,S1_11,0,Not cold stratified,5/8/23,14
23,23_A,23_A_E,Iteroparous,I2,I2_5,-1,Not cold stratified,5/3/23,9
23,23_A,23_A_E,Iteroparous,I2,I2_5,-1,Not cold stratified,5/3/23,9
23,23_A,23_A_E,Iteroparous,I2,I2_5,-1,Not cold stratified,5/3/23,9
23,23_A,23_A_E,Iteroparous,I2,I2_5,-1,Not cold stratified,5/3/23,9
23,23_A,23_A_E,Iteroparous,I2,I2_5,-1,Not cold stratified,5/3/23,9
23,23_A,23_A_E,Iteroparous,I2,I2_5,-1,Not cold stratified,5/8/23,14
23,23_A,23_A_E,Iteroparous,I2,I2_5,-1,Not cold stratified,5/8/23,14
23,23_B,23_B_C,Iteroparous,I1,I1_16,-0.5,Not cold stratified,4/28/23,4
23,23_B,23_B_C,Iteroparous,I1,I1_16,-0.5,Not cold stratified,5/3/23,9
23,23_B,23_B_C,Iteroparous,I1,I1_16,-0.5,Not cold stratified,5/3/23,9
23,23_B,23_B_C,Iteroparous,I1,I1_16,-0.5,Not cold stratified,5/3/23,9
23,23_B,23_B_D,Iteroparous,I3,I3_10,0,Cold stratified,4/26/23,2
23,23_B,23_B_D,Iteroparous,I3,I3_10,0,Cold stratified,4/26/23,2
23,23_B,23_B_D,Iteroparous,I3,I3_10,0,Cold stratified,4/26/23,2
